,name,full_count,search_termconf_str,last_authors_count,CVPR2017,CVPR2018,CVPR2019,ICML2017,ICML2018,ICML2019,NIPS2017,NIPS2018,NIPS2019,search_term
71,Ming-Ming Cheng,18,,4,y,y,y,n,n,n,n,y,y,Ming-Ming Cheng scholar
72,Bohyung Han,17,,11,y,y,y,n,n,n,y,y,y,Bohyung Han scholar
73,Alan L.,20,,20,y,y,y,n,y,n,y,n,n,Alan L. scholar
74,L. Yuille,20,,15,y,y,y,n,y,n,y,n,n,L. Yuille scholar
75,Wangmeng Zuo,16,,3,y,y,y,n,n,n,n,y,n,Wangmeng Zuo scholar
76,Francis Bach,17,,4,y,y,y,n,n,n,n,y,y,Francis Bach scholar
77,Andreas Geiger,20,,16,y,y,y,y,y,n,y,n,n,Andreas Geiger scholar
78,Sergey Levine,32,,24,y,y,y,y,y,y,y,y,y,Sergey Levine scholar
79,Lei Zhang,18,,14,y,y,y,n,n,n,n,y,y,Lei Zhang scholar
80,Andrea Vedaldi,16,,10,y,y,y,y,n,n,y,y,y,Andrea Vedaldi scholar
81,van der,29,,29,y,y,y,y,y,y,y,y,y,van der scholar
82,Bo Dai,15,,0,y,y,n,y,y,n,y,y,y,Bo Dai scholar
83,Nicu Sebe,15,,9,y,y,y,n,n,n,y,n,y,Nicu Sebe scholar
84,Zhe Gan,16,,0,y,y,y,y,y,n,y,y,y,Zhe Gan scholar
85,Alexander G.,28,,28,y,y,y,n,y,n,y,y,y,Alexander G. scholar
86,Jiebo Luo,15,,12,y,y,y,n,n,n,n,n,y,Jiebo Luo scholar
87,Kristen Grauman,16,,13,y,y,y,n,n,n,y,y,n,Kristen Grauman scholar
88,Zhe Lin,15,,0,y,y,y,n,n,n,y,n,n,Zhe Lin scholar
89,Jun Zhu,23,,11,y,y,y,y,y,y,y,y,y,Jun Zhu scholar
90,Dacheng Tao,25,,20,y,y,y,y,n,n,n,y,y,Dacheng Tao scholar
91,Tao Mei,19,,17,y,y,y,n,n,n,n,n,n,Tao Mei scholar
92,Yoshua Bengio,21,,8,y,y,n,y,y,y,y,y,y,Yoshua Bengio scholar
93,Lior Wolf,17,,15,y,y,y,y,y,n,y,y,y,Lior Wolf scholar
94,G. Schwing,22,,12,y,y,y,n,n,n,y,y,y,G. Schwing scholar
95,Lawrence Carin,34,,25,y,y,y,y,y,y,y,y,y,Lawrence Carin scholar
96,Oriol Vinyals,15,,2,y,y,n,y,y,y,y,y,n,Oriol Vinyals scholar
97,Junzhou Huang,16,,9,y,y,y,n,y,y,y,y,y,Junzhou Huang scholar
98,Quoc V.,21,,21,n,n,y,y,y,y,n,y,y,Quoc V. scholar
99,V. Le,21,,11,n,n,y,y,y,y,n,y,y,V. Le scholar
100,Michael I.,30,,30,n,n,y,y,y,y,y,y,y,Michael I. scholar
101,I. Jordan,30,,24,n,n,y,y,y,y,y,y,y,I. Jordan scholar
102,Tong Zhang,27,,15,n,n,y,y,y,y,y,y,y,Tong Zhang scholar
103,Tianbao Yang,19,,15,n,n,y,y,y,y,y,y,y,Tianbao Yang scholar
104,Ji Liu,15,,11,n,n,y,y,y,y,y,y,y,Ji Liu scholar
105,Yee Whye,16,,16,n,n,n,y,y,y,y,y,y,Yee Whye scholar
106,Whye Teh,16,,8,n,n,n,y,y,y,y,y,y,Whye Teh scholar
107,Pieter Abbeel,28,,9,n,n,n,y,y,y,y,y,y,Pieter Abbeel scholar
108,Yuanzhi Li,16,,6,n,n,n,y,y,y,y,y,y,Yuanzhi Li scholar
109,Andreas Krause,23,,14,n,n,n,y,y,y,y,y,y,Andreas Krause scholar
110,Volkan Cevher,19,,19,n,n,n,y,y,y,y,y,y,Volkan Cevher scholar
111,David M.,16,,16,n,n,n,y,y,n,y,y,y,David M. scholar
112,Quanquan Gu,19,,19,n,n,n,y,y,y,y,y,y,Quanquan Gu scholar
113,David P.,22,,22,n,n,n,y,y,y,y,y,y,David P. scholar
114,P. Woodruff,17,,12,n,n,n,y,y,y,y,y,y,P. Woodruff scholar
115,Simon S.,15,,15,n,n,n,y,y,y,y,y,y,Simon S. scholar
116,S. Du,15,,0,n,n,n,y,y,y,y,y,y,S. Du scholar
117,Shimon Whiteson,15,,13,n,n,n,y,y,y,y,n,y,Shimon Whiteson scholar
118,Masashi Sugiyama,23,,22,n,n,n,y,y,y,y,y,y,Masashi Sugiyama scholar
119,Pradeep Ravikumar,15,,11,n,n,n,y,y,n,y,y,y,Pradeep Ravikumar scholar
120,Amin Karbasi,15,,13,n,n,n,y,y,y,y,y,y,Amin Karbasi scholar
121,Zhi-Hua Zhou,16,,16,n,n,n,y,y,y,y,y,y,Zhi-Hua Zhou scholar
122,Tao Qin,16,,0,n,n,n,y,y,y,y,y,y,Tao Qin scholar
123,Tie-Yan Liu,21,,19,n,n,n,y,y,y,y,y,y,Tie-Yan Liu scholar
124,Stefano Ermon,18,,18,n,n,n,y,y,y,y,y,n,Stefano Ermon scholar
125,Peter L.,15,,15,n,n,n,y,y,y,y,y,n,Peter L. scholar
126,L. Bartlett,15,,7,n,n,n,y,y,y,y,y,n,L. Bartlett scholar
127,Bernhard Schölkopf,17,,8,n,n,n,n,y,y,y,y,y,Bernhard Schölkopf scholar
128,Josh Tenenbaum,16,,8,n,n,n,n,n,n,y,y,y,Josh Tenenbaum scholar
